pc_timestamp,sample_index,raw_value
11318732,10218,-962
11319728,10219,-4152
11320728,10220,-4650
11321728,10221,-5782
11322732,10222,-4257
11323732,10223,-403
11324728,10224,2109
11325732,10225,3424
11326732,10226,2806
11327728,10227,1006
11328728,10228,-1089
11329728,10229,-1009
11330732,10230,1683
11331732,10231,1411
11332728,10232,1210
11333728,10233,-617
11334732,10234,-563
11335732,10235,-562
11336732,10236,-232
11337736,10237,-3436
11338728,10238,1491
11339728,10239,4450
11340728,10240,5936
11341728,10241,3119
11342728,10242,1042
11343728,10243,-947
11344728,10244,-4368
11345728,10245,-5359
11346728,10246,-3934
11347732,10247,-1796
11348732,10248,17
11349728,10249,1461
11350728,10250,775
11351732,10251,3006
11352728,10252,6159
11353728,10253,8381
11354728,10254,5495
11355728,10255,2103
11356728,10256,-2943
11357728,10257,-5866
11358732,10258,-7717
11359728,10259,-7159
11360728,10260,-75
11361728,10261,5757
11362728,10262,6343
11363732,10263,5368
11364728,10264,4738
11365732,10265,3841
11366728,10266,1294
11367732,10267,-4031
11368728,10268,-7007
11369728,10269,-5405
11370728,10270,-1317
11371728,10271,2027
11372732,10272,4438
11373728,10273,4608
11374732,10274,3095
11375728,10275,557
11376732,10276,-1607
11377732,10277,-1174
11378728,10278,-3455
11379728,10279,-2676
11380728,10280,-446
11381732,10281,1905
11382732,10282,3518
11383728,10283,3656
11384728,10284,3090
11385732,10285,962
11386728,10286,-1676
11387732,10287,-2203
11388728,10288,-1391
11389728,10289,-943
11390732,10290,-425
11391728,10291,-1584
11392728,10292,-730
11393728,10293,2538
11394732,10294,2590
11395732,10295,1420
11396728,10296,50
11397728,10297,98
11398732,10298,-687
11399728,10299,-1028
11400732,10300,1202
11401732,10301,4208
11402728,10302,5219
11403732,10303,3892
11404732,10304,823
11405732,10305,-3923
11406728,10306,-7031
11407728,10307,-5077
11408728,10308,-3101
11409728,10309,-632
11410728,10310,565
11411732,10311,3572
11412728,10312,5884
11413728,10313,8420
11414728,10314,4141
11415732,10315,1198
11416728,10316,-752
11417728,10317,-4238
11418728,10318,-4393
11419728,10319,-6121
11420728,10320,-6645
11421732,10321,-1974
11422732,10322,8171
11423728,10323,8336
11424732,10324,6373
11425732,10325,1167
11426732,10326,-2312
11427728,10327,-6443
11428732,10328,-6620
11429732,10329,-4468
11430728,10330,2248
11431728,10331,5210
11432732,10332,5077
11433728,10333,3254
11434728,10334,1280
11435728,10335,-344
11436728,10336,-5228
11437732,10337,-5412
11438728,10338,-3460
11439728,10339,516
11440728,10340,7094
11441728,10341,6593
11442732,10342,8072
11443728,10343,3157
11444732,10344,3
11445732,10345,-4745
11446732,10346,-7050
11447732,10347,-8315
11448732,10348,-5428
11449732,10349,-2482
11450728,10350,1834
11451732,10351,5640
11452728,10352,8220
11453732,10353,8627
11454728,10354,5742
11455732,10355,1757
11456728,10356,-3166
11457728,10357,-6420
11458728,10358,-6889
11459728,10359,-4763
11460728,10360,-1238
11461728,10361,1360
11462732,10362,2700
11463728,10363,4489
11464732,10364,4636
11465732,10365,2752
11466728,10366,1440
11467728,10367,-765
11468728,10368,-1243
11469732,10369,-1817
11470732,10370,-649
11471728,10371,-1791
11472728,10372,-481
11473728,10373,-592
11474732,10374,193
11475728,10375,1463
11476728,10376,3386
11477728,10377,4390
11478732,10378,2751
11479728,10379,1493
11480728,10380,37
11481728,10381,-3630
11482728,10382,-7212
11483728,10383,-5228
11484732,10384,1063
11485728,10385,8501
11486732,10386,10274
11487728,10387,8823
11488728,10388,2432
11489732,10389,-5091
11490732,10390,-9862
11491732,10391,-9902
11492728,10392,-6754
11493728,10393,-3777
11494732,10394,2079
11495728,10395,8791
11496728,10396,12359
11497728,10397,10748
11498732,10398,4863
11499728,10399,-1294
11500728,10400,-5968
11501732,10401,-7943
11502728,10402,-7338
11503728,10403,-5567
11504728,10404,-2647
11505728,10405,1434
11506728,10406,6007
11507732,10407,8105
11508728,10408,8810
11509728,10409,3698
11510732,10410,-554
11511728,10411,-1214
11512732,10412,-3608
11513728,10413,-4536
11514732,10414,-6171
11515728,10415,-3705
11516728,10416,-2324
11517728,10417,1408
11518728,10418,4949
11519732,10419,5734
11520732,10420,5405
11521728,10421,3987
11522732,10422,3934
11523728,10423,1314
11524728,10424,-4361
11525728,10425,-5915
11526728,10426,-4986
11527728,10427,-3019
11528728,10428,487
11529732,10429,2327
11530732,10430,3373
11531732,10431,4391
11532728,10432,2410
11533728,10433,660
11534728,10434,-3008
11535728,10435,-1537
11536728,10436,985
11537732,10437,1611
11538732,10438,-625
11539732,10439,-1263
11540732,10440,-1363
11541732,10441,-580
11542728,10442,1458
11543728,10443,2107
11544728,10444,2031
11545728,10445,2453
11546732,10446,1398
11547732,10447,-2394
11548728,10448,-3066
11549728,10449,-1593
11550732,10450,-372
11551732,10451,350
11552732,10452,2143
11553728,10453,5418
11554728,10454,3246
11555728,10455,1943
11556728,10456,-710
11557728,10457,-2124
11558728,10458,-3286
11559728,10459,-5285
11560728,10460,-1566
11561728,10461,833
11562732,10462,1925
11563732,10463,5453
11564728,10464,4331
11565728,10465,2987
11566732,10466,6
11567728,10467,-537
11568728,10468,-1722
11569728,10469,-1608
11570732,10470,-1644
11571728,10471,-3816
11572728,10472,-4113
11573732,10473,847
11574732,10474,5234
11575732,10475,7823
11576728,10476,6536
11577728,10477,3127
11578728,10478,-1860
11579732,10479,-4748
11580728,10480,-6320
11581728,10481,-6158
11582728,10482,-4445
11583732,10483,25
11584728,10484,5926
11585728,10485,7417
11586728,10486,6248
11587732,10487,4858
11588728,10488,1570
11589728,10489,-2002
11590728,10490,-6131
11591732,10491,-7098
11592732,10492,-4539
11593736,10493,-863
11594728,10494,3461
11595732,10495,5608
11596732,10496,6250
