time,value,run
11.488012,0,11
11.489016,0,11
11.490012,0,11
11.491012,0,11
11.492012,0,11
11.493012,0,11
11.494012,0,11
11.495012,0,11
11.496012,0,11
11.497012,0,11
11.498012,0,11
11.499012,0,11
11.500012,0,11
11.501012,0,11
11.502012,0,11
11.503012,0,11
11.504012,0,11
11.505012,0,11
11.506012,0,11
11.507012,0,11
11.508012,0,11
11.509012,0,11
11.510012,0,11
11.511012,0,11
11.512012,0,11
11.513012,0,11
11.514012,0,11
11.515012,0,11
11.516012,0,11
11.517012,0,11
11.518012,0,11
11.519012,0,11
11.520016,0,11
11.521012,0,11
11.522016,0,11
11.523016,0,11
11.524016,0,11
11.525016,0,11
11.526016,0,11
11.527012,0,11
11.528012,0,11
11.529016,0,11
11.530012,0,11
11.531012,0,11
11.532012,0,11
11.533012,0,11
11.534012,0,11
11.535012,0,11
11.536012,0,11
11.537016,0,11
11.538012,0,11
11.539012,0,11
11.540016,0,11
11.541012,0,11
11.542012,0,11
11.543012,0,11
11.544012,0,11
11.545012,0,11
11.546012,0,11
11.547012,0,11
11.548012,0,11
11.549012,0,11
11.550012,0,11
11.551012,0,11
11.552012,0,11
11.553016,1,11
11.554012,2,11
11.555012,0,11
11.556012,0,11
11.557012,0,11
11.558012,0,11
11.559012,0,11
11.560012,0,11
11.561012,0,11
11.562012,0,11
11.56302,0,11
11.564016,0,11
11.565016,0,11
11.566016,0,11
11.567012,0,11
11.568012,0,11
11.569012,0,11
11.570012,0,11
11.571012,0,11
11.572012,0,11
11.573016,0,11
11.574012,0,11
11.575012,0,11
11.576012,0,11
11.577012,0,11
11.578012,0,11
11.579012,0,11
11.580012,0,11
11.581012,0,11
11.582012,0,11
11.583012,0,11
11.584012,0,11
11.585016,0,11
11.586012,0,11
11.587012,0,11
11.588012,0,11
11.589012,0,11
11.590012,0,11
11.591012,0,11
11.592012,0,11
11.593012,0,11
11.594012,0,11
11.595012,0,11
11.596012,0,11
11.597012,0,11
11.598012,0,11
11.599012,0,11
11.600012,0,11
11.601016,0,11
11.602012,0,11
11.603012,0,11
